Total Nacional;Comunidades y Ciudades Autónomas;Tipo de tareas informáticas;Periodo;Total
Total Nacional;Castilla - La Mancha;Crear presentaciones o documentos que integren texto, tablas o gráficos;2023;47,4
Total Nacional;Castilla - La Mancha;Crear presentaciones o documentos que integren texto, tablas o gráficos;2022;""
Total Nacional;Castilla - La Mancha;Crear presentaciones o documentos que integren texto, tablas o gráficos;2021;42,2
Total Nacional;Castilla - La Mancha;Crear presentaciones o documentos que integren texto, tablas o gráficos;2020;38
Total Nacional;Castilla - La Mancha;Usar hojas de cálculo;2025;""
Total Nacional;Castilla - La Mancha;Usar hojas de cálculo;2024;..
Total Nacional;Castilla - La Mancha;Usar hojas de cálculo;2023;35,7
Total Nacional;Castilla - La Mancha;Usar hojas de cálculo;2022;""
Total Nacional;Castilla - La Mancha;Usar hojas de cálculo;2021;32,6
Total Nacional;Castilla - La Mancha;Usar hojas de cálculo;2020;32,3
Total Nacional;Castilla - La Mancha;Programar en un lenguaje de programación;2025;""
Total Nacional;Castilla - La Mancha;Programar en un lenguaje de programación;2024;..
Total Nacional;Castilla - La Mancha;Programar en un lenguaje de programación;2023;8,8
Total Nacional;Castilla - La Mancha;Programar en un lenguaje de programación;2022;""
Total Nacional;Castilla - La Mancha;Programar en un lenguaje de programación;2021;4,5
Total Nacional;Castilla - La Mancha;Programar en un lenguaje de programación;2020;4,2
Total Nacional;Cataluña;Utilizar al menos un conocimiento informático;2025;""
Total Nacional;Cataluña;Utilizar al menos un conocimiento informático;2024;..
Total Nacional;Cataluña;Utilizar al menos un conocimiento informático;2023;82,5
Total Nacional;Cataluña;Utilizar al menos un conocimiento informático;2022;""
Total Nacional;Cataluña;Utilizar al menos un conocimiento informático;2021;78,5
Total Nacional;Cataluña;Utilizar al menos un conocimiento informático;2020;78,2
Total Nacional;Cataluña;Transferir ficheros entre el ordenador y otros dispositivos;2025;""
Total Nacional;Cataluña;Transferir ficheros entre el ordenador y otros dispositivos;2024;..
Total Nacional;Cataluña;Transferir ficheros entre el ordenador y otros dispositivos;2023;..
Total Nacional;Cataluña;Transferir ficheros entre el ordenador y otros dispositivos;2022;""
Total Nacional;Cataluña;Transferir ficheros entre el ordenador y otros dispositivos;2021;..
Total Nacional;Cataluña;Transferir ficheros entre el ordenador y otros dispositivos;2020;61,1
Total Nacional;Cataluña;Instalar o configurar software o aplicaciones (apps);2025;""
Total Nacional;Cataluña;Instalar o configurar software o aplicaciones (apps);2024;..
Total Nacional;Cataluña;Instalar o configurar software o aplicaciones (apps);2023;71,4
Total Nacional;Cataluña;Instalar o configurar software o aplicaciones (apps);2022;""
Total Nacional;Cataluña;Instalar o configurar software o aplicaciones (apps);2021;66,3
Total Nacional;Cataluña;Instalar o configurar software o aplicaciones (apps);2020;66,1
Total Nacional;Cataluña;Copiar o mover ficheros o carpetas;2025;""
Total Nacional;Cataluña;Copiar o mover ficheros o carpetas;2024;..
Total Nacional;Cataluña;Copiar o mover ficheros o carpetas;2023;69,3
Total Nacional;Cataluña;Copiar o mover ficheros o carpetas;2022;""
Total Nacional;Cataluña;Copiar o mover ficheros o carpetas;2021;67,4
Total Nacional;Cataluña;Copiar o mover ficheros o carpetas;2020;66,7
Total Nacional;Cataluña;Crear presentaciones o documentos que integren texto, tablas o gráficos;2025;""
Total Nacional;Cataluña;Crear presentaciones o documentos que integren texto, tablas o gráficos;2024;..
Total Nacional;Cataluña;Crear presentaciones o documentos que integren texto, tablas o gráficos;2023;55,4
Total Nacional;Cataluña;Crear presentaciones o documentos que integren texto, tablas o gráficos;2022;""
Total Nacional;Cataluña;Crear presentaciones o documentos que integren texto, tablas o gráficos;2021;50,6
Total Nacional;Cataluña;Crear presentaciones o documentos que integren texto, tablas o gráficos;2020;48
Total Nacional;Cataluña;Usar hojas de cálculo;2025;""
Total Nacional;Cataluña;Usar hojas de cálculo;2024;..
Total Nacional;Cataluña;Usar hojas de cálculo;2023;49,5
Total Nacional;Cataluña;Usar hojas de cálculo;2022;""
Total Nacional;Cataluña;Usar hojas de cálculo;2021;45,6
Total Nacional;Cataluña;Usar hojas de cálculo;2020;47,8
Total Nacional;Cataluña;Programar en un lenguaje de programación;2025;""
Total Nacional;Cataluña;Programar en un lenguaje de programación;2024;..
Total Nacional;Cataluña;Programar en un lenguaje de programación;2023;9,3
Total Nacional;Cataluña;Programar en un lenguaje de programación;2022;""
Total Nacional;Cataluña;Programar en un lenguaje de programación;2021;8,4
Total Nacional;Cataluña;Programar en un lenguaje de programación;2020;8,3
Total Nacional;Comunitat Valenciana;Utilizar al menos un conocimiento informático;2025;""
Total Nacional;Comunitat Valenciana;Utilizar al menos un conocimiento informático;2024;..
Total Nacional;Comunitat Valenciana;Utilizar al menos un conocimiento informático;2023;78,5
Total Nacional;Comunitat Valenciana;Utilizar al menos un conocimiento informático;2022;""
Total Nacional;Comunitat Valenciana;Utilizar al menos un conocimiento informático;2021;78,5
Total Nacional;Comunitat Valenciana;Utilizar al menos un conocimiento informático;2020;74,2
Total Nacional;Comunitat Valenciana;Transferir ficheros entre el ordenador y otros dispositivos;2025;""
Total Nacional;Comunitat Valenciana;Transferir ficheros entre el ordenador y otros dispositivos;2024;..
Total Nacional;Comunitat Valenciana;Transferir ficheros entre el ordenador y otros dispositivos;2023;..
Total Nacional;Comunitat Valenciana;Transferir ficheros entre el ordenador y otros dispositivos;2022;""
Total Nacional;Comunitat Valenciana;Transferir ficheros entre el ordenador y otros dispositivos;2021;..
Total Nacional;Comunitat Valenciana;Transferir ficheros entre el ordenador y otros dispositivos;2020;56,4
Total Nacional;Comunitat Valenciana;Instalar o configurar software o aplicaciones (apps);2025;""
Total Nacional;Comunitat Valenciana;Instalar o configurar software o aplicaciones (apps);2024;..
Total Nacional;Comunitat Valenciana;Instalar o configurar software o aplicaciones (apps);2023;67,2
Total Nacional;Comunitat Valenciana;Instalar o configurar software o aplicaciones (apps);2022;""
Total Nacional;Comunitat Valenciana;Instalar o configurar software o aplicaciones (apps);2021;67,5
Total Nacional;Comunitat Valenciana;Instalar o configurar software o aplicaciones (apps);2020;62,5
Total Nacional;Comunitat Valenciana;Copiar o mover ficheros o carpetas;2025;""
Total Nacional;Comunitat Valenciana;Copiar o mover ficheros o carpetas;2024;..
Total Nacional;Comunitat Valenciana;Copiar o mover ficheros o carpetas;2023;63,6
Total Nacional;Comunitat Valenciana;Copiar o mover ficheros o carpetas;2022;""
Total Nacional;Comunitat Valenciana;Copiar o mover ficheros o carpetas;2021;67,3
Total Nacional;Comunitat Valenciana;Copiar o mover ficheros o carpetas;2020;61,8
Total Nacional;Comunitat Valenciana;Crear presentaciones o documentos que integren texto, tablas o gráficos;2025;""
Total Nacional;Comunitat Valenciana;Crear presentaciones o documentos que integren texto, tablas o gráficos;2024;..
Total Nacional;Comunitat Valenciana;Crear presentaciones o documentos que integren texto, tablas o gráficos;2023;49,8
Total Nacional;Comunitat Valenciana;Crear presentaciones o documentos que integren texto, tablas o gráficos;2022;""
Total Nacional;Comunitat Valenciana;Crear presentaciones o documentos que integren texto, tablas o gráficos;2021;48,2
Total Nacional;Comunitat Valenciana;Crear presentaciones o documentos que integren texto, tablas o gráficos;2020;37,8
Total Nacional;Comunitat Valenciana;Usar hojas de cálculo;2025;""
Total Nacional;Comunitat Valenciana;Usar hojas de cálculo;2024;..
Total Nacional;Comunitat Valenciana;Usar hojas de cálculo;2023;39,4
Total Nacional;Comunitat Valenciana;Usar hojas de cálculo;2022;""
Total Nacional;Comunitat Valenciana;Usar hojas de cálculo;2021;43,1
Total Nacional;Comunitat Valenciana;Usar hojas de cálculo;2020;38
Total Nacional;Comunitat Valenciana;Programar en un lenguaje de programación;2025;""
Total Nacional;Comunitat Valenciana;Programar en un lenguaje de programación;2024;..
Total Nacional;Comunitat Valenciana;Programar en un lenguaje de programación;2023;7,8
Total Nacional;Comunitat Valenciana;Programar en un lenguaje de programación;2022;""
Total Nacional;Comunitat Valenciana;Programar en un lenguaje de programación;2021;8,8
Total Nacional;Comunitat Valenciana;Programar en un lenguaje de programación;2020;7,1
Total Nacional;Extremadura;Utilizar al menos un conocimiento informático;2025;""
Total Nacional;Extremadura;Utilizar al menos un conocimiento informático;2024;..
Total Nacional;Extremadura;Utilizar al menos un conocimiento informático;2023;69,2
Total Nacional;Extremadura;Utilizar al menos un conocimiento informático;2022;""
Total Nacional;Extremadura;Utilizar al menos un conocimiento informático;2021;68,2
Total Nacional;Extremadura;Utilizar al menos un conocimiento informático;2020;70,9
Total Nacional;Extremadura;Transferir ficheros entre el ordenador y otros dispositivos;2025;""
Total Nacional;Extremadura;Transferir ficheros entre el ordenador y otros dispositivos;2024;..
Total Nacional;Extremadura;Transferir ficheros entre el ordenador y otros dispositivos;2023;..
Total Nacional;Extremadura;Transferir ficheros entre el ordenador y otros dispositivos;2022;""
Total Nacional;Extremadura;Transferir ficheros entre el ordenador y otros dispositivos;2021;..
Total Nacional;Extremadura;Transferir ficheros entre el ordenador y otros dispositivos;2020;54,6
Total Nacional;Extremadura;Instalar o configurar software o aplicaciones (apps);2025;""
Total Nacional;Extremadura;Instalar o configurar software o aplicaciones (apps);2024;..
Total Nacional;Extremadura;Instalar o configurar software o aplicaciones (apps);2023;57,9
Total Nacional;Extremadura;Instalar o configurar software o aplicaciones (apps);2022;""
Total Nacional;Extremadura;Instalar o configurar software o aplicaciones (apps);2021;55,4
Total Nacional;Extremadura;Instalar o configurar software o aplicaciones (apps);2020;60,2
Total Nacional;Extremadura;Copiar o mover ficheros o carpetas;2025;""
Total Nacional;Extremadura;Copiar o mover ficheros o carpetas;2024;..
Total Nacional;Extremadura;Copiar o mover ficheros o carpetas;2023;57,5
Total Nacional;Extremadura;Copiar o mover ficheros o carpetas;2022;""
Total Nacional;Extremadura;Copiar o mover ficheros o carpetas;2021;55,3
Total Nacional;Extremadura;Copiar o mover ficheros o carpetas;2020;58,9
Total Nacional;Extremadura;Crear presentaciones o documentos que integren texto, tablas o gráficos;2025;""
Total Nacional;Extremadura;Crear presentaciones o documentos que integren texto, tablas o gráficos;2024;..
Total Nacional;Extremadura;Crear presentaciones o documentos que integren texto, tablas o gráficos;2023;45,5
Total Nacional;Extremadura;Crear presentaciones o documentos que integren texto, tablas o gráficos;2022;""
Total Nacional;Extremadura;Crear presentaciones o documentos que integren texto, tablas o gráficos;2021;44,8
Total Nacional;Extremadura;Crear presentaciones o documentos que integren texto, tablas o gráficos;2020;37,5
Total Nacional;Extremadura;Usar hojas de cálculo;2025;""
Total Nacional;Extremadura;Usar hojas de cálculo;2024;..
Total Nacional;Extremadura;Usar hojas de cálculo;2023;32,6
Total Nacional;Extremadura;Usar hojas de cálculo;2022;""
Total Nacional;Extremadura;Usar hojas de cálculo;2021;32,2
Total Nacional;Extremadura;Usar hojas de cálculo;2020;35,7
Total Nacional;Extremadura;Programar en un lenguaje de programación;2025;""
Total Nacional;Extremadura;Programar en un lenguaje de programación;2024;..
Total Nacional;Extremadura;Programar en un lenguaje de programación;2023;7,2
Total Nacional;Extremadura;Programar en un lenguaje de programación;2022;""
Total Nacional;Extremadura;Programar en un lenguaje de programación;2021;8,6
Total Nacional;Extremadura;Programar en un lenguaje de programación;2020;5,1
Total Nacional;Galicia;Utilizar al menos un conocimiento informático;2025;""
Total Nacional;Galicia;Utilizar al menos un conocimiento informático;2024;..
Total Nacional;Galicia;Utilizar al menos un conocimiento informático;2023;74,5
Total Nacional;Galicia;Utilizar al menos un conocimiento informático;2022;""
Total Nacional;Galicia;Utilizar al menos un conocimiento informático;2021;71,2
Total Nacional;Galicia;Utilizar al menos un conocimiento informático;2020;63,3
Total Nacional;Galicia;Transferir ficheros entre el ordenador y otros dispositivos;2025;""
Total Nacional;Galicia;Transferir ficheros entre el ordenador y otros dispositivos;2024;..
Total Nacional;Galicia;Transferir ficheros entre el ordenador y otros dispositivos;2023;..
Total Nacional;Galicia;Transferir ficheros entre el ordenador y otros dispositivos;2022;""
Total Nacional;Galicia;Transferir ficheros entre el ordenador y otros dispositivos;2021;..
Total Nacional;Galicia;Transferir ficheros entre el ordenador y otros dispositivos;2020;49,1
Total Nacional;Galicia;Instalar o configurar software o aplicaciones (apps);2025;""
Total Nacional;Galicia;Instalar o configurar software o aplicaciones (apps);2024;..
Total Nacional;Galicia;Instalar o configurar software o aplicaciones (apps);2023;63,5
Total Nacional;Galicia;Instalar o configurar software o aplicaciones (apps);2022;""
Total Nacional;Galicia;Instalar o configurar software o aplicaciones (apps);2021;57,6
Total Nacional;Galicia;Instalar o configurar software o aplicaciones (apps);2020;51
Total Nacional;Galicia;Copiar o mover ficheros o carpetas;2025;""
Total Nacional;Galicia;Copiar o mover ficheros o carpetas;2024;..
Total Nacional;Galicia;Copiar o mover ficheros o carpetas;2023;61,7
Total Nacional;Galicia;Copiar o mover ficheros o carpetas;2022;""
Total Nacional;Galicia;Copiar o mover ficheros o carpetas;2021;60,1
Total Nacional;Galicia;Copiar o mover ficheros o carpetas;2020;52,4
Total Nacional;Galicia;Crear presentaciones o documentos que integren texto, tablas o gráficos;2025;""
Total Nacional;Galicia;Crear presentaciones o documentos que integren texto, tablas o gráficos;2024;..
Total Nacional;Galicia;Crear presentaciones o documentos que integren texto, tablas o gráficos;2023;47,7
Total Nacional;Galicia;Crear presentaciones o documentos que integren texto, tablas o gráficos;2022;""
Total Nacional;Galicia;Crear presentaciones o documentos que integren texto, tablas o gráficos;2021;46,4
Total Nacional;Galicia;Crear presentaciones o documentos que integren texto, tablas o gráficos;2020;37,6
Total Nacional;Galicia;Usar hojas de cálculo;2025;""
Total Nacional;Galicia;Usar hojas de cálculo;2024;..
Total Nacional;Galicia;Usar hojas de cálculo;2023;37,9
Total Nacional;Galicia;Usar hojas de cálculo;2022;""
Total Nacional;Galicia;Usar hojas de cálculo;2021;37,9
Total Nacional;Galicia;Usar hojas de cálculo;2020;34,5
Total Nacional;Galicia;Programar en un lenguaje de programación;2025;""
Total Nacional;Galicia;Programar en un lenguaje de programación;2024;..
Total Nacional;Galicia;Programar en un lenguaje de programación;2023;7,5
Total Nacional;Galicia;Programar en un lenguaje de programación;2022;""
Total Nacional;Galicia;Programar en un lenguaje de programación;2021;6
Total Nacional;Galicia;Programar en un lenguaje de programación;2020;5,7
Total Nacional;Madrid, Comunidad de;Utilizar al menos un conocimiento informático;2025;""
Total Nacional;Madrid, Comunidad de;Utilizar al menos un conocimiento informático;2024;..
Total Nacional;Madrid, Comunidad de;Utilizar al menos un conocimiento informático;2023;82,2
Total Nacional;Madrid, Comunidad de;Utilizar al menos un conocimiento informático;2022;""
Total Nacional;Madrid, Comunidad de;Utilizar al menos un conocimiento informático;2021;82,9
Total Nacional;Madrid, Comunidad de;Utilizar al menos un conocimiento informático;2020;77,8
Total Nacional;Madrid, Comunidad de;Transferir ficheros entre el ordenador y otros dispositivos;2025;""
Total Nacional;Madrid, Comunidad de;Transferir ficheros entre el ordenador y otros dispositivos;2024;..
Total Nacional;Madrid, Comunidad de;Transferir ficheros entre el ordenador y otros dispositivos;2023;..
Total Nacional;Madrid, Comunidad de;Transferir ficheros entre el ordenador y otros dispositivos;2022;""
Total Nacional;Madrid, Comunidad de;Transferir ficheros entre el ordenador y otros dispositivos;2021;..
Total Nacional;Madrid, Comunidad de;Transferir ficheros entre el ordenador y otros dispositivos;2020;62
Total Nacional;Madrid, Comunidad de;Instalar o configurar software o aplicaciones (apps);2025;""
Total Nacional;Madrid, Comunidad de;Instalar o configurar software o aplicaciones (apps);2024;..
Total Nacional;Madrid, Comunidad de;Instalar o configurar software o aplicaciones (apps);2023;70,6
Total Nacional;Madrid, Comunidad de;Instalar o configurar software o aplicaciones (apps);2022;""
Total Nacional;Madrid, Comunidad de;Instalar o configurar software o aplicaciones (apps);2021;72,2
Total Nacional;Madrid, Comunidad de;Instalar o configurar software o aplicaciones (apps);2020;65,8
Total Nacional;Madrid, Comunidad de;Copiar o mover ficheros o carpetas;2025;""
Total Nacional;Madrid, Comunidad de;Copiar o mover ficheros o carpetas;2024;..
Total Nacional;Madrid, Comunidad de;Copiar o mover ficheros o carpetas;2023;67,9
Total Nacional;Madrid, Comunidad de;Copiar o mover ficheros o carpetas;2022;""
Total Nacional;Madrid, Comunidad de;Copiar o mover ficheros o carpetas;2021;72
Total Nacional;Madrid, Comunidad de;Copiar o mover ficheros o carpetas;2020;66,6
Total Nacional;Madrid, Comunidad de;Crear presentaciones o documentos que integren texto, tablas o gráficos;2025;""
Total Nacional;Madrid, Comunidad de;Crear presentaciones o documentos que integren texto, tablas o gráficos;2024;..
Total Nacional;Madrid, Comunidad de;Crear presentaciones o documentos que integren texto, tablas o gráficos;2023;55,3
Total Nacional;Madrid, Comunidad de;Crear presentaciones o documentos que integren texto, tablas o gráficos;2022;""
Total Nacional;Madrid, Comunidad de;Crear presentaciones o documentos que integren texto, tablas o gráficos;2021;57
Total Nacional;Madrid, Comunidad de;Crear presentaciones o documentos que integren texto, tablas o gráficos;2020;52,3
Total Nacional;Madrid, Comunidad de;Usar hojas de cálculo;2025;""
Total Nacional;Madrid, Comunidad de;Usar hojas de cálculo;2024;..
Total Nacional;Madrid, Comunidad de;Usar hojas de cálculo;2023;49,1
Total Nacional;Madrid, Comunidad de;Usar hojas de cálculo;2022;""
Total Nacional;Madrid, Comunidad de;Usar hojas de cálculo;2021;51,8
Total Nacional;Madrid, Comunidad de;Usar hojas de cálculo;2020;52,2
Total Nacional;Madrid, Comunidad de;Programar en un lenguaje de programación;2025;""
Total Nacional;Madrid, Comunidad de;Programar en un lenguaje de programación;2024;..
Total Nacional;Madrid, Comunidad de;Programar en un lenguaje de programación;2023;11
Total Nacional;Madrid, Comunidad de;Programar en un lenguaje de programación;2022;""
Total Nacional;Madrid, Comunidad de;Programar en un lenguaje de programación;2021;10,5
Total Nacional;Madrid, Comunidad de;Programar en un lenguaje de programación;2020;11,8
Total Nacional;Murcia, Región de;Utilizar al menos un conocimiento informático;2025;""
Total Nacional;Murcia, Región de;Utilizar al menos un conocimiento informático;2024;..
Total Nacional;Murcia, Región de;Utilizar al menos un conocimiento informático;2023;75,9
Total Nacional;Murcia, Región de;Utilizar al menos un conocimiento informático;2022;""
Total Nacional;Murcia, Región de;Utilizar al menos un conocimiento informático;2021;76,5
Total Nacional;Murcia, Región de;Utilizar al menos un conocimiento informático;2020;67,8
Total Nacional;Murcia, Región de;Transferir ficheros entre el ordenador y otros dispositivos;2025;""
Total Nacional;Murcia, Región de;Transferir ficheros entre el ordenador y otros dispositivos;2024;..
Total Nacional;Murcia, Región de;Transferir ficheros entre el ordenador y otros dispositivos;2023;..
Total Nacional;Murcia, Región de;Transferir ficheros entre el ordenador y otros dispositivos;2022;""
Total Nacional;Murcia, Región de;Transferir ficheros entre el ordenador y otros dispositivos;2021;..
Total Nacional;Murcia, Región de;Transferir ficheros entre el ordenador y otros dispositivos;2020;45,8
Total Nacional;Murcia, Región de;Instalar o configurar software o aplicaciones (apps);2025;""
Total Nacional;Murcia, Región de;Instalar o configurar software o aplicaciones (apps);2024;..
Total Nacional;Murcia, Región de;Instalar o configurar software o aplicaciones (apps);2023;65,9
Total Nacional;Murcia, Región de;Instalar o configurar software o aplicaciones (apps);2022;""
Total Nacional;Murcia, Región de;Instalar o configurar software o aplicaciones (apps);2021;60,6
Total Nacional;Murcia, Región de;Instalar o configurar software o aplicaciones (apps);2020;56,7
Total Nacional;Murcia, Región de;Copiar o mover ficheros o carpetas;2025;""
Total Nacional;Murcia, Región de;Copiar o mover ficheros o carpetas;2024;..
Total Nacional;Murcia, Región de;Copiar o mover ficheros o carpetas;2023;62,2
Total Nacional;Murcia, Región de;Copiar o mover ficheros o carpetas;2022;""
Total Nacional;Murcia, Región de;Copiar o mover ficheros o carpetas;2021;64,3
Total Nacional;Murcia, Región de;Copiar o mover ficheros o carpetas;2020;51,1
Total Nacional;Murcia, Región de;Crear presentaciones o documentos que integren texto, tablas o gráficos;2025;""
Total Nacional;Murcia, Región de;Crear presentaciones o documentos que integren texto, tablas o gráficos;2024;..
Total Nacional;Murcia, Región de;Crear presentaciones o documentos que integren texto, tablas o gráficos;2023;42
Total Nacional;Murcia, Región de;Crear presentaciones o documentos que integren texto, tablas o gráficos;2022;""
Total Nacional;Murcia, Región de;Crear presentaciones o documentos que integren texto, tablas o gráficos;2021;43,4
Total Nacional;Murcia, Región de;Crear presentaciones o documentos que integren texto, tablas o gráficos;2020;34,8
Total Nacional;Murcia, Región de;Usar hojas de cálculo;2025;""
Total Nacional;Murcia, Región de;Usar hojas de cálculo;2024;..
Total Nacional;Murcia, Región de;Usar hojas de cálculo;2023;29
Total Nacional;Murcia, Región de;Usar hojas de cálculo;2022;""
Total Nacional;Murcia, Región de;Usar hojas de cálculo;2021;37,7
Total Nacional;Murcia, Región de;Usar hojas de cálculo;2020;35,3
Total Nacional;Murcia, Región de;Programar en un lenguaje de programación;2025;""
Total Nacional;Murcia, Región de;Programar en un lenguaje de programación;2024;..
Total Nacional;Murcia, Región de;Programar en un lenguaje de programación;2023;8
Total Nacional;Murcia, Región de;Programar en un lenguaje de programación;2022;""
Total Nacional;Murcia, Región de;Programar en un lenguaje de programación;2021;8,1
Total Nacional;Murcia, Región de;Programar en un lenguaje de programación;2020;8,6
Total Nacional;Navarra, Comunidad Foral de;Utilizar al menos un conocimiento informático;2025;""
Total Nacional;Navarra, Comunidad Foral de;Utilizar al menos un conocimiento informático;2024;..
Total Nacional;Navarra, Comunidad Foral de;Utilizar al menos un conocimiento informático;2023;78
Total Nacional;Navarra, Comunidad Foral de;Utilizar al menos un conocimiento informático;2022;""
Total Nacional;Navarra, Comunidad Foral de;Utilizar al menos un conocimiento informático;2021;74,9
Total Nacional;Navarra, Comunidad Foral de;Utilizar al menos un conocimiento informático;2020;74,8
Total Nacional;Navarra, Comunidad Foral de;Transferir ficheros entre el ordenador y otros dispositivos;2025;""
Total Nacional;Navarra, Comunidad Foral de;Transferir ficheros entre el ordenador y otros dispositivos;2024;..
Total Nacional;Navarra, Comunidad Foral de;Transferir ficheros entre el ordenador y otros dispositivos;2023;..
Total Nacional;Navarra, Comunidad Foral de;Transferir ficheros entre el ordenador y otros dispositivos;2022;""
Total Nacional;Navarra, Comunidad Foral de;Transferir ficheros entre el ordenador y otros dispositivos;2021;..
Total Nacional;Navarra, Comunidad Foral de;Transferir ficheros entre el ordenador y otros dispositivos;2020;55,6
Total Nacional;Navarra, Comunidad Foral de;Instalar o configurar software o aplicaciones (apps);2025;""
Total Nacional;Navarra, Comunidad Foral de;Instalar o configurar software o aplicaciones (apps);2024;..
Total Nacional;Navarra, Comunidad Foral de;Instalar o configurar software o aplicaciones (apps);2023;64,8
Total Nacional;Navarra, Comunidad Foral de;Instalar o configurar software o aplicaciones (apps);2022;""
Total Nacional;Navarra, Comunidad Foral de;Instalar o configurar software o aplicaciones (apps);2021;62,5
Total Nacional;Navarra, Comunidad Foral de;Instalar o configurar software o aplicaciones (apps);2020;60,2
Total Nacional;Navarra, Comunidad Foral de;Copiar o mover ficheros o carpetas;2025;""
Total Nacional;Navarra, Comunidad Foral de;Copiar o mover ficheros o carpetas;2024;..
Total Nacional;Navarra, Comunidad Foral de;Copiar o mover ficheros o carpetas;2023;65,2
Total Nacional;Navarra, Comunidad Foral de;Copiar o mover ficheros o carpetas;2022;""
Total Nacional;Navarra, Comunidad Foral de;Copiar o mover ficheros o carpetas;2021;64,5
Total Nacional;Navarra, Comunidad Foral de;Copiar o mover ficheros o carpetas;2020;62,2
Total Nacional;Navarra, Comunidad Foral de;Crear presentaciones o documentos que integren texto, tablas o gráficos;2025;""
Total Nacional;Navarra, Comunidad Foral de;Crear presentaciones o documentos que integren texto, tablas o gráficos;2024;..
Total Nacional;Navarra, Comunidad Foral de;Crear presentaciones o documentos que integren texto, tablas o gráficos;2023;51,8
Total Nacional;Navarra, Comunidad Foral de;Crear presentaciones o documentos que integren texto, tablas o gráficos;2022;""
Total Nacional;Navarra, Comunidad Foral de;Crear presentaciones o documentos que integren texto, tablas o gráficos;2021;45,8
Total Nacional;Navarra, Comunidad Foral de;Crear presentaciones o documentos que integren texto, tablas o gráficos;2020;43,1
Total Nacional;Navarra, Comunidad Foral de;Usar hojas de cálculo;2025;""
Total Nacional;Navarra, Comunidad Foral de;Usar hojas de cálculo;2024;..
Total Nacional;Navarra, Comunidad Foral de;Usar hojas de cálculo;2023;46,4
Total Nacional;Navarra, Comunidad Foral de;Usar hojas de cálculo;2022;""
Total Nacional;Navarra, Comunidad Foral de;Usar hojas de cálculo;2021;39,6
Total Nacional;Navarra, Comunidad Foral de;Usar hojas de cálculo;2020;41,8
Total Nacional;Navarra, Comunidad Foral de;Programar en un lenguaje de programación;2025;""
Total Nacional;Navarra, Comunidad Foral de;Programar en un lenguaje de programación;2024;..
Total Nacional;Navarra, Comunidad Foral de;Programar en un lenguaje de programación;2023;10,1
Total Nacional;Navarra, Comunidad Foral de;Programar en un lenguaje de programación;2022;""
Total Nacional;Navarra, Comunidad Foral de;Programar en un lenguaje de programación;2021;5,1
Total Nacional;Navarra, Comunidad Foral de;Programar en un lenguaje de programación;2020;8,1
Total Nacional;País Vasco;Utilizar al menos un conocimiento informático;2025;""
Total Nacional;País Vasco;Utilizar al menos un conocimiento informático;2024;..
Total Nacional;País Vasco;Utilizar al menos un conocimiento informático;2023;76,2
Total Nacional;País Vasco;Utilizar al menos un conocimiento informático;2022;""
Total Nacional;País Vasco;Utilizar al menos un conocimiento informático;2021;73,5
Total Nacional;País Vasco;Utilizar al menos un conocimiento informático;2020;74,7
Total Nacional;País Vasco;Transferir ficheros entre el ordenador y otros dispositivos;2025;""
Total Nacional;País Vasco;Transferir ficheros entre el ordenador y otros dispositivos;2024;..
Total Nacional;País Vasco;Transferir ficheros entre el ordenador y otros dispositivos;2023;..
Total Nacional;País Vasco;Transferir ficheros entre el ordenador y otros dispositivos;2022;""
Total Nacional;País Vasco;Transferir ficheros entre el ordenador y otros dispositivos;2021;..
Total Nacional;País Vasco;Transferir ficheros entre el ordenador y otros dispositivos;2020;54,5
Total Nacional;País Vasco;Instalar o configurar software o aplicaciones (apps);2025;""
Total Nacional;País Vasco;Instalar o configurar software o aplicaciones (apps);2024;..
Total Nacional;País Vasco;Instalar o configurar software o aplicaciones (apps);2023;63,9
Total Nacional;País Vasco;Instalar o configurar software o aplicaciones (apps);2022;""
Total Nacional;País Vasco;Instalar o configurar software o aplicaciones (apps);2021;60,5
Total Nacional;País Vasco;Instalar o configurar software o aplicaciones (apps);2020;62,1
Total Nacional;País Vasco;Copiar o mover ficheros o carpetas;2025;""
Total Nacional;País Vasco;Copiar o mover ficheros o carpetas;2024;..
Total Nacional;País Vasco;Copiar o mover ficheros o carpetas;2023;60,9
Total Nacional;País Vasco;Copiar o mover ficheros o carpetas;2022;""
Total Nacional;País Vasco;Copiar o mover ficheros o carpetas;2021;63,4
Total Nacional;País Vasco;Copiar o mover ficheros o carpetas;2020;62,6
Total Nacional;País Vasco;Crear presentaciones o documentos que integren texto, tablas o gráficos;2025;""
Total Nacional;País Vasco;Crear presentaciones o documentos que integren texto, tablas o gráficos;2024;..
Total Nacional;País Vasco;Crear presentaciones o documentos que integren texto, tablas o gráficos;2023;47
Total Nacional;País Vasco;Crear presentaciones o documentos que integren texto, tablas o gráficos;2022;""
Total Nacional;País Vasco;Crear presentaciones o documentos que integren texto, tablas o gráficos;2021;47,2
Total Nacional;País Vasco;Crear presentaciones o documentos que integren texto, tablas o gráficos;2020;43,7
Total Nacional;País Vasco;Usar hojas de cálculo;2025;""
Total Nacional;País Vasco;Usar hojas de cálculo;2024;..
Total Nacional;País Vasco;Usar hojas de cálculo;2023;40,1
Total Nacional;País Vasco;Usar hojas de cálculo;2022;""
