Total Nacional;Comunidades y Ciudades Autónomas;Tipo de tareas informáticas;Periodo;Total
Total Nacional;Aragón;Transferir ficheros entre el ordenador y otros dispositivos;2025;""
Total Nacional;Aragón;Transferir ficheros entre el ordenador y otros dispositivos;2024;..
Total Nacional;Aragón;Transferir ficheros entre el ordenador y otros dispositivos;2023;..
Total Nacional;Aragón;Transferir ficheros entre el ordenador y otros dispositivos;2022;""
Total Nacional;Aragón;Transferir ficheros entre el ordenador y otros dispositivos;2021;..
Total Nacional;Aragón;Transferir ficheros entre el ordenador y otros dispositivos;2020;56,2
Total Nacional;Aragón;Instalar o configurar software o aplicaciones (apps);2025;""
Total Nacional;Aragón;Instalar o configurar software o aplicaciones (apps);2024;..
Total Nacional;Aragón;Instalar o configurar software o aplicaciones (apps);2023;62,1
Total Nacional;Aragón;Instalar o configurar software o aplicaciones (apps);2022;""
Total Nacional;Aragón;Instalar o configurar software o aplicaciones (apps);2021;62,7
Total Nacional;Aragón;Instalar o configurar software o aplicaciones (apps);2020;56,3
Total Nacional;Aragón;Copiar o mover ficheros o carpetas;2025;""
Total Nacional;Aragón;Copiar o mover ficheros o carpetas;2024;..
Total Nacional;Aragón;Copiar o mover ficheros o carpetas;2023;63,1
Total Nacional;Aragón;Copiar o mover ficheros o carpetas;2022;""
Total Nacional;Aragón;Copiar o mover ficheros o carpetas;2021;61,6
Total Nacional;Aragón;Copiar o mover ficheros o carpetas;2020;59,2
Total Nacional;Aragón;Crear presentaciones o documentos que integren texto, tablas o gráficos;2025;""
Total Nacional;Aragón;Crear presentaciones o documentos que integren texto, tablas o gráficos;2024;..
Total Nacional;Aragón;Crear presentaciones o documentos que integren texto, tablas o gráficos;2023;45,4
Total Nacional;Aragón;Crear presentaciones o documentos que integren texto, tablas o gráficos;2022;""
Total Nacional;Aragón;Crear presentaciones o documentos que integren texto, tablas o gráficos;2021;46
Total Nacional;Aragón;Crear presentaciones o documentos que integren texto, tablas o gráficos;2020;42,3
Total Nacional;Aragón;Usar hojas de cálculo;2025;""
Total Nacional;Aragón;Usar hojas de cálculo;2024;..
Total Nacional;Aragón;Usar hojas de cálculo;2023;38,5
Total Nacional;Aragón;Usar hojas de cálculo;2022;""
Total Nacional;Aragón;Usar hojas de cálculo;2021;38,2
Total Nacional;Aragón;Usar hojas de cálculo;2020;40,6
Total Nacional;Aragón;Programar en un lenguaje de programación;2025;""
Total Nacional;Aragón;Programar en un lenguaje de programación;2024;..
Total Nacional;Aragón;Programar en un lenguaje de programación;2023;7
Total Nacional;Aragón;Programar en un lenguaje de programación;2022;""
Total Nacional;Aragón;Programar en un lenguaje de programación;2021;6,4
Total Nacional;Aragón;Programar en un lenguaje de programación;2020;6,5
Total Nacional;Asturias, Principado de;Utilizar al menos un conocimiento informático;2025;""
Total Nacional;Asturias, Principado de;Utilizar al menos un conocimiento informático;2024;..
Total Nacional;Asturias, Principado de;Utilizar al menos un conocimiento informático;2023;76,7
Total Nacional;Asturias, Principado de;Utilizar al menos un conocimiento informático;2022;""
Total Nacional;Asturias, Principado de;Utilizar al menos un conocimiento informático;2021;74,4
Total Nacional;Asturias, Principado de;Utilizar al menos un conocimiento informático;2020;66,3
Total Nacional;Asturias, Principado de;Transferir ficheros entre el ordenador y otros dispositivos;2025;""
Total Nacional;Asturias, Principado de;Transferir ficheros entre el ordenador y otros dispositivos;2024;..
Total Nacional;Asturias, Principado de;Transferir ficheros entre el ordenador y otros dispositivos;2023;..
Total Nacional;Asturias, Principado de;Transferir ficheros entre el ordenador y otros dispositivos;2022;""
Total Nacional;Asturias, Principado de;Transferir ficheros entre el ordenador y otros dispositivos;2021;..
Total Nacional;Asturias, Principado de;Transferir ficheros entre el ordenador y otros dispositivos;2020;48,1
Total Nacional;Asturias, Principado de;Instalar o configurar software o aplicaciones (apps);2025;""
Total Nacional;Asturias, Principado de;Instalar o configurar software o aplicaciones (apps);2024;..
Total Nacional;Asturias, Principado de;Instalar o configurar software o aplicaciones (apps);2023;66,1
Total Nacional;Asturias, Principado de;Instalar o configurar software o aplicaciones (apps);2022;""
Total Nacional;Asturias, Principado de;Instalar o configurar software o aplicaciones (apps);2021;61,4
Total Nacional;Asturias, Principado de;Instalar o configurar software o aplicaciones (apps);2020;55
Total Nacional;Asturias, Principado de;Copiar o mover ficheros o carpetas;2025;""
Total Nacional;Asturias, Principado de;Copiar o mover ficheros o carpetas;2024;..
Total Nacional;Asturias, Principado de;Copiar o mover ficheros o carpetas;2023;61,8
Total Nacional;Asturias, Principado de;Copiar o mover ficheros o carpetas;2022;""
Total Nacional;Asturias, Principado de;Copiar o mover ficheros o carpetas;2021;65,3
Total Nacional;Asturias, Principado de;Copiar o mover ficheros o carpetas;2020;53,5
Total Nacional;Asturias, Principado de;Crear presentaciones o documentos que integren texto, tablas o gráficos;2025;""
Total Nacional;Asturias, Principado de;Crear presentaciones o documentos que integren texto, tablas o gráficos;2024;..
Total Nacional;Asturias, Principado de;Crear presentaciones o documentos que integren texto, tablas o gráficos;2023;45,3
